date,sqft_living,price,bedrooms,bathrooms,price_category
2014-10-13,12050,7700000.0,6,8.0,high_end
2014-06-11,10040,7062500.0,5,4.5,high_end
2014-09-19,9890,6885000.0,6,7.75,high_end
2014-08-04,9200,5570000.0,5,5.75,high_end
2015-04-13,8000,5350000.0,5,5.0,high_end
2015-04-13,7390,5300000.0,6,6.0,high_end
2014-10-20,8010,5110800.0,5,5.25,high_end
2014-06-17,9640,4668000.0,5,6.75,high_end
2014-08-15,6640,4500000.0,5,5.5,high_end
2014-06-18,6430,4489000.0,4,3.0,high_end
2015-05-06,7440,4208000.0,5,6.0,high_end
2014-10-14,7080,4000000.0,4,5.5,high_end
2014-11-14,5770,3850000.0,4,4.25,high_end
2014-09-11,5510,3800000.0,3,4.25,high_end
2014-07-01,7050,3800000.0,5,5.5,high_end
2014-05-30,5550,3710000.0,4,3.5,high_end
2015-04-21,5480,3650000.0,6,4.75,high_end
2015-05-11,5020,3650000.0,5,3.75,high_end
2014-09-11,4830,3640900.0,4,3.25,high_end
2014-10-11,5490,3635000.0,5,6.0,high_end
2014-11-18,5020,3600000.0,3,3.25,high_end
2015-01-07,4850,3567000.0,5,4.5,high_end
2014-10-07,5450,3418800.0,5,5.0,high_end
2014-06-23,5230,3400000.0,3,4.5,high_end
2015-05-08,4260,3400000.0,4,4.0,high_end
2015-03-03,4730,3395000.0,4,3.5,high_end
2015-04-02,5350,3345000.0,5,3.75,high_end
2014-12-30,4220,3300000.0,3,3.25,high_end
2014-10-20,7710,3300000.0,8,4.0,high_end
2014-09-04,6200,3300000.0,5,4.75,high_end
2014-07-02,8020,3300000.0,5,6.25,high_end
2014-12-10,6840,3278000.0,2,1.75,high_end
2014-08-26,4810,3204000.0,4,4.0,high_end
2014-09-23,7100,3200000.0,6,5.0,high_end
2014-08-12,7000,3200000.0,4,3.25,high_end
2015-01-09,4560,3200000.0,3,3.25,high_end
2014-05-07,6210,3200000.0,7,4.5,high_end
2014-08-28,4330,3168750.0,5,3.5,high_end
2014-11-24,4490,3120000.0,3,3.5,high_end
2014-05-29,6980,3100000.0,6,4.25,high_end
2014-08-25,3920,3100000.0,3,3.0,high_end
2014-07-29,5090,3100000.0,5,5.25,high_end
2014-06-24,4550,3075000.0,4,5.0,high_end
2014-11-20,3930,3070000.0,3,2.5,high_end
2015-02-12,4150,3065000.0,5,3.0,high_end
2015-04-08,4590,3000000.0,5,3.75,high_end
2014-06-18,4850,3000000.0,4,4.25,high_end
2014-08-11,4410,3000000.0,3,3.5,high_end
2015-04-07,5090,3000000.0,4,3.75,high_end
2015-02-02,5370,3000000.0,5,3.25,high_end
2015-05-07,6670,2998000.0,5,4.0,high_end
2014-12-12,7400,2983000.0,5,5.5,high_end
2014-10-30,4470,2950000.0,4,4.25,high_end
2014-08-29,4860,2950000.0,4,3.5,high_end
